Employee_ID,JOB_ROLE,DAILY_STRESS,WORK_TRAVELS,TEAM_SIZE,DAYS_ABSENT,WEEKLY_EXTRA_HOURS,ACHIEVED_BIG_PROJECTS,EXTRA_HOLIDAYS,BMI_RANGE,TODO_COMPLETED,DAILY_STEPS_IN_THOUSAND,SLEEP_HOURS,LOST_VACATION,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_HOBBY,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
2749,Finance Analyst,1,3,5,2,10,4,2,1,5,3,8,0,2,10,4,36 to 50,Female,692.6
968,Finance Analyst,5,0,3,3,8,1,5,2,4,1,6,10,2,3,2,36 to 50,Female,574.5
10137,Business Analyst,3,10,3,2,3,2,0,1,2,5,8,0,1,4,3,51 or more,Female,630.1
4877,Mortgage Consultant,2,10,6,10,8,10,2,1,10,10,7,0,2,10,4,21 to 35,Male,746.5
2194,Human Resources,3,0,2,0,5,0,5,2,3,2,6,0,1,2,2,21 to 35,Male,591.7
12261,Credit Analyst,3,7,4,10,8,10,5,1,5,2,6,0,2,10,6,51 or more,Female,729.4
13456,Bank Teller,5,1,8,5,2,2,5,2,2,10,8,7,1,2,0,36 to 50,Female,593.7
4835,Investment Banker,1,1,10,10,10,5,5,2,8,7,6,7,1,6,4,51 or more,Male,682.8
13200,Loan Processor,3,6,6,10,7,3,5,1,8,3,9,0,2,6,6,51 or more,Female,723.4
4595,Mortgage Consultant,2,10,8,8,4,6,3,1,5,3,7,10,2,5,4,21 to 35,Female,687.3
15226,Bank Teller,3,10,8,10,3,2,3,2,0,3,5,0,2,4,0,51 or more,Female,635.9
13215,Finance Analyst,3,0,8,10,10,1,2,2,5,2,9,0,1,10,0,51 or more,Female,655.2
6064,Investment Banker,2,4,1,1,10,3,2,1,7,7,7,4,1,3,5,21 to 35,Male,652.4
313,Risk Analyst,3,3,10,3,4,0,4,1,7,8,8,0,2,2,2,36 to 50,Female,657.9
4618,Loan Processor,5,10,2,9,10,5,5,1,10,10,5,10,2,7,2,36 to 50,Female,686.6
5776,Customer Service,3,10,10,10,6,4,5,1,7,10,6,5,2,8,4,51 or more,Female,732.7
7011,Human Resources,2,10,10,5,8,5,2,2,6,10,8,2,1,10,3,21 to 35,Female,685.5
15194,Risk Analyst,2,8,10,10,10,8,5,2,10,7,7,1,2,10,3,51 or more,Female,742.5
15051,Risk Analyst,3,3,10,10,10,5,1,2,7,2,8,0,2,4,1,36 to 50,Female,663.5
15920,Business Analyst,3,6,3,10,10,5,4,1,4,8,7,0,2,4,5,21 to 35,Female,710.4
1164,Human Resources,5,8,9,5,10,4,2,2,8,10,8,10,2,3,3,21 to 35,Female,658.3
2885,Risk Analyst,2,4,6,1,10,4,0,2,5,5,6,0,2,8,1,36 to 50,Male,633.1
6395,Mortgage Consultant,2,3,6,4,9,3,2,1,5,6,8,0,2,2,3,51 or more,Female,677.9
3509,Risk Analyst,2,5,10,10,2,5,3,2,4,1,6,10,2,3,4,21 to 35,Female,640.8
13287,Loan Processor,4,1,1,1,7,1,0,1,0,3,6,10,1,2,2,Less than 20,Female,557.9
9076,Customer Service,2,8,6,2,10,1,1,2,6,5,8,3,2,10,1,36 to 50,Female,669.2
14561,Bank Teller,4,10,6,5,10,7,4,1,4,10,7,0,2,6,4,36 to 50,Male,712.5
7942,Credit Analyst,3,10,1,10,2,4,5,1,9,10,7,0,2,10,1,51 or more,Female,712.5
10583,Business Analyst,5,0,2,1,2,0,5,1,0,1,10,0,1,1,0,21 to 35,Male,571.9
12216,Customer Service,5,0,2,1,2,1,5,1,1,1,10,0,1,1,0,21 to 35,Male,575.3
13559,Finance Analyst,3,1,7,5,8,5,3,1,7,8,7,10,2,3,9,21 to 35,Female,678.1
10938,Human Resources,2,4,5,4,4,2,1,1,4,6,7,8,1,4,8,21 to 35,Male,648.8
9744,Credit Analyst,1,10,2,1,5,1,0,1,5,8,6,5,2,4,1,21 to 35,Male,649
15844,Investment Banker,5,6,4,10,0,10,3,1,5,2,9,0,1,10,1,36 to 50,Female,656.9
12975,Bank Teller,3,6,8,7,6,6,2,1,8,5,6,4,2,5,4,21 to 35,Female,680.7
5009,Customer Service,3,6,8,7,6,6,2,1,8,5,6,4,1,5,4,21 to 35,Female,663.7
15305,Finance Analyst,1,3,3,2,4,1,5,2,5,10,7,0,2,5,3,21 to 35,Male,661.5
8239,Bank Teller,1,1,1,1,3,1,1,1,0,6,7,2,2,3,1,51 or more,Female,609.7
7041,Finance Analyst,2,6,4,10,10,1,1,2,7,1,8,0,2,6,2,21 to 35,Female,656.5
9596,Human Resources,3,10,10,10,10,3,3,1,9,8,8,0,2,5,6,21 to 35,Male,739.5
4193,Human Resources,5,4,0,2,3,0,5,1,8,10,4,0,2,5,1,21 to 35,Female,657.5
7055,Finance Analyst,4,0,2,2,3,1,0,2,1,4,4,0,1,1,0,36 to 50,Female,528.8
8084,Mortgage Consultant,3,10,8,10,10,4,5,2,10,7,6,10,2,10,1,51 or more,Male,694.7
15829,Mortgage Consultant,1,10,4,2,2,0,1,1,10,4,8,10,2,4,5,51 or more,Female,662.2
2534,Risk Analyst,2,3,1,10,10,3,5,1,8,5,7,1,2,5,2,21 to 35,Female,704.7
11052,Mortgage Consultant,2,10,1,4,5,0,5,1,8,10,8,0,2,10,1,36 to 50,Female,694
10444,Bank Teller,2,10,1,4,5,0,5,1,8,10,8,0,2,10,1,36 to 50,Female,694
11348,Business Analyst,3,8,10,5,7,3,4,1,8,10,8,0,1,10,3,21 to 35,Female,709.3
2121,Finance Analyst,5,0,2,0,0,3,0,2,0,1,6,10,1,2,1,21 to 35,Male,538.8
384,Investment Banker,1,2,2,1,3,4,0,1,2,8,8,0,2,1,1,Less than 20,Male,654.5
13829,Human Resources,1,6,4,10,4,5,1,2,10,1,8,0,2,0,3,51 or more,Female,680.3
13365,Bank Teller,5,0,2,0,0,3,0,2,0,1,6,10,1,2,1,21 to 35,Male,538.8
9292,Credit Analyst,4,8,7,5,7,8,2,2,7,3,6,6,2,10,0,21 to 35,Female,651.4
11213,Business Analyst,2,10,5,5,10,5,2,1,9,2,8,0,2,7,5,21 to 35,Female,724.7
7982,Customer Service,2,3,6,10,10,5,2,2,5,6,6,1,2,8,2,51 or more,Female,677.5
14575,Credit Analyst,4,8,2,10,10,6,5,2,6,7,6,10,2,10,3,51 or more,Female,696.4
8320,Customer Service,4,10,6,4,5,3,1,1,8,2,8,0,1,10,6,36 to 50,Female,658.4
9841,Mortgage Consultant,0,8,3,10,7,6,3,1,10,8,8,0,2,10,5,36 to 50,Female,749.7
13186,Human Resources,0,8,3,10,7,6,3,1,10,8,8,0,2,10,5,36 to 50,Female,749.7
5986,Finance Analyst,4,4,7,4,4,10,5,2,6,9,6,0,2,7,1,36 to 50,Female,676.4
780,Business Analyst,4,1,4,2,5,2,2,2,1,9,6,7,2,2,0,21 to 35,Female,594.8
14533,Bank Teller,3,8,1,10,10,8,5,1,9,10,8,2,2,8,5,21 to 35,Female,758.6
13875,Bank Teller,4,3,1,4,3,4,0,1,5,7,6,1,2,10,1,21 to 35,Male,640.3
8151,Business Analyst,2,2,3,8,10,2,1,1,8,8,7,2,2,2,1,36 to 50,Male,678.1
15349,Risk Analyst,3,10,4,10,10,3,1,2,8,4,6,0,2,10,1,36 to 50,Male,678.8
13520,Human Resources,5,0,1,1,3,4,1,2,1,1,10,10,2,3,0,36 to 50,Female,551.5
14840,Human Resources,5,2,2,10,8,1,0,1,9,10,6,3,1,4,2,21 to 35,Female,639.2
11480,Credit Analyst,3,10,6,10,10,8,4,1,9,7,7,5,2,7,5,21 to 35,Female,718.7
3542,Finance Analyst,3,10,6,7,10,7,3,1,9,5,7,4,2,7,3,21 to 35,Female,697.9
2881,Bank Teller,3,6,3,5,5,5,3,1,5,4,7,0,2,5,4,51 or more,Female,670.5
2829,Loan Processor,3,8,10,10,10,2,1,1,4,3,7,7,1,5,2,36 to 50,Female,666.9
11333,Investment Banker,4,3,10,4,8,6,2,2,4,8,6,0,1,4,2,21 to 35,Male,638.8
4592,Human Resources,4,10,3,10,8,0,5,2,3,5,6,0,1,4,5,21 to 35,Female,651.8
6528,Credit Analyst,2,2,3,2,3,4,1,1,8,10,9,8,1,4,2,21 to 35,Male,639.8
595,Bank Teller,2,3,8,8,5,3,5,1,5,6,7,0,2,2,2,36 to 50,Female,687.9
6885,Human Resources,3,6,10,3,4,0,1,2,1,2,7,9,2,1,0,21 to 35,Female,593.6
8386,Bank Teller,4,10,8,8,3,1,1,1,6,5,8,10,1,10,1,21 to 35,Female,626.7
9229,Investment Banker,2,5,1,0,10,10,1,1,7,3,6,1,1,10,1,21 to 35,Male,658.2
12694,Finance Analyst,2,0,4,1,1,1,0,1,8,1,7,0,1,5,5,51 or more,Female,605.3
5853,Mortgage Consultant,2,3,6,5,9,6,4,2,5,1,6,3,1,10,2,36 to 50,Female,645.9
405,Mortgage Consultant,2,3,6,3,2,5,3,1,4,6,8,2,2,5,5,21 to 35,Male,669.4
9784,Human Resources,3,2,5,1,2,1,0,1,2,10,7,0,1,0,0,21 to 35,Female,605.4
459,Bank Teller,2,9,7,7,5,3,4,2,9,5,6,0,2,5,2,51 or more,Female,690.9
15286,Bank Teller,2,10,7,4,3,5,2,1,7,1,9,8,2,10,5,Less than 20,Female,709.4
14140,Customer Service,2,10,7,4,3,5,2,1,7,1,9,8,2,10,5,Less than 20,Female,709.4
14130,Human Resources,5,0,3,2,10,0,0,2,10,10,6,0,1,0,3,21 to 35,Female,627.3
15015,Customer Service,5,0,10,3,2,4,1,1,5,4,8,0,2,10,3,51 or more,Female,643.5
13064,Bank Teller,1,1,0,0,6,2,0,1,5,8,7,2,2,5,4,21 to 35,Male,637.3
15223,Bank Teller,2,6,8,4,5,2,1,1,5,9,10,0,2,1,2,21 to 35,Female,665.3
11453,Risk Analyst,2,6,8,4,5,2,1,1,5,9,10,0,2,1,2,21 to 35,Female,665.3
1941,Customer Service,2,10,5,6,5,8,3,1,7,10,9,5,2,8,3,21 to 35,Male,714.6
15853,Loan Processor,3,0,6,5,10,2,1,1,9,9,5,2,1,3,5,21 to 35,Female,649
3866,Customer Service,2,10,4,4,10,4,3,1,9,10,7,0,2,9,1,36 to 50,Female,717.6
7495,Investment Banker,4,10,3,10,10,8,4,1,8,10,7,0,2,10,2,36 to 50,Male,748.2
11014,Business Analyst,5,0,7,2,5,1,2,1,3,9,7,0,2,6,0,36 to 50,Female,637.5
13841,Risk Analyst,3,0,7,2,5,2,3,1,3,9,4,0,1,5,1,21 to 35,Female,628.4
495,Human Resources,4,3,5,0,5,2,1,1,3,3,5,0,2,2,4,Less than 20,Male,634.2
13549,Investment Banker,4,3,7,4,4,3,3,1,2,3,9,1,2,5,3,21 to 35,Male,653.7
4207,Bank Teller,3,3,5,6,2,10,0,1,8,10,8,10,1,10,4,21 to 35,Male,656.6
9649,Risk Analyst,0,0,10,2,5,2,0,1,10,1,10,0,2,1,7,36 to 50,Female,670.5
12881,Customer Service,2,2,1,3,7,1,1,2,2,1,8,5,2,0,0,36 to 50,Female,588.5
10186,Business Analyst,3,9,3,2,8,3,1,1,8,6,8,0,2,10,1,36 to 50,Female,672.8
12239,Loan Processor,4,10,3,3,10,4,4,1,7,10,6,3,2,6,3,21 to 35,Male,695.3
14697,Investment Banker,3,2,5,6,5,1,1,2,6,2,6,0,1,5,1,36 to 50,Male,591.7
13790,Investment Banker,2,10,5,1,10,2,0,2,8,5,9,0,2,3,1,21 to 35,Female,649
6985,Human Resources,3,4,10,6,10,4,5,2,8,7,7,5,2,10,2,51 or more,Female,708.5
12231,Loan Processor,1,4,6,6,4,6,0,1,9,3,6,0,2,10,2,Less than 20,Female,673.5
5594,Loan Processor,4,1,1,8,3,1,1,1,1,4,5,0,2,1,0,21 to 35,Female,595.3
9401,Customer Service,4,4,6,10,10,0,3,2,4,10,7,5,2,10,6,51 or more,Female,671.7
1551,Investment Banker,4,3,4,2,3,3,4,1,0,10,5,2,2,0,2,Less than 20,Female,625.4
8918,Mortgage Consultant,1,9,6,2,7,5,1,1,7,7,10,0,2,1,3,Less than 20,Male,705.7
11288,Loan Processor,2,9,10,8,10,6,3,1,10,9,9,0,2,10,6,36 to 50,Male,753.5
8186,Credit Analyst,1,7,4,2,10,5,0,1,8,8,10,0,2,1,5,Less than 20,Male,707.6
9117,Human Resources,0,9,4,4,8,1,0,1,9,10,10,0,2,3,5,Less than 20,Male,713.1
12146,Risk Analyst,2,5,4,7,1,3,5,2,9,7,6,1,2,4,8,51 or more,Female,687.9
11437,Customer Service,3,7,4,10,8,10,5,1,5,2,6,0,2,10,6,51 or more,Female,729.4
8323,Bank Teller,3,10,10,5,5,10,3,2,8,5,7,10,2,5,3,51 or more,Female,665.6
15654,Investment Banker,2,4,3,1,2,0,1,2,2,2,8,0,1,4,0,21 to 35,Male,576.8
6533,Credit Analyst,5,5,6,2,4,6,0,2,3,5,6,10,2,10,3,36 to 50,Female,602.5
928,Mortgage Consultant,4,10,5,8,4,3,5,1,5,7,6,10,2,5,2,36 to 50,Female,669.2
12691,Business Analyst,2,2,6,4,4,5,5,1,6,4,7,0,2,8,4,36 to 50,Female,680.7
10980,Credit Analyst,5,5,5,10,10,3,4,1,4,4,9,0,2,3,9,36 to 50,Female,694.7
3246,Customer Service,4,2,2,10,3,1,5,2,3,1,9,7,2,3,0,36 to 50,Female,612.5
9211,Credit Analyst,3,10,6,4,7,1,1,1,7,5,7,1,2,6,2,36 to 50,Male,679.2
4178,Risk Analyst,3,5,3,0,10,3,1,1,7,3,8,5,2,10,6,21 to 35,Male,677.3
4786,Customer Service,1,3,8,10,10,3,1,1,10,6,7,0,2,4,1,36 to 50,Female,730.4
8406,Business Analyst,5,6,3,6,4,3,2,1,10,2,8,0,1,10,4,36 to 50,Female,658.4
14438,Bank Teller,3,10,4,10,2,5,5,1,9,4,6,0,2,7,2,36 to 50,Female,714.5
10994,Finance Analyst,5,5,5,6,10,0,0,1,0,6,6,10,1,10,1,Less than 20,Female,619.7
13712,Human Resources,3,4,7,4,5,2,0,1,8,6,7,0,2,7,3,21 to 35,Female,672.6
9688,Risk Analyst,3,0,2,3,3,0,3,2,8,3,8,0,2,2,0,36 to 50,Female,602.5
8299,Loan Processor,3,1,7,10,4,2,5,1,8,5,7,4,2,9,1,51 or more,Female,689.4
14108,Business Analyst,2,2,10,6,6,4,5,2,8,2,7,4,2,10,4,51 or more,Male,683.7
9655,Investment Banker,2,2,10,6,6,4,5,2,8,2,7,4,2,10,4,51 or more,Male,683.7
2155,Risk Analyst,5,0,1,6,4,4,3,1,9,4,6,6,2,6,0,51 or more,Female,632.9
995,Loan Processor,1,5,5,3,7,5,1,1,5,5,8,0,2,10,1,21 to 35,Male,665.8
10091,Customer Service,3,10,10,10,6,6,4,2,10,6,6,0,2,5,6,51 or more,Female,733.6
3947,Risk Analyst,2,3,10,10,10,2,2,1,8,10,8,0,2,3,2,51 or more,Female,711
4107,Bank Teller,3,1,2,2,1,2,0,2,2,3,10,10,1,2,0,21 to 35,Male,558.7
1024,Customer Service,3,5,10,10,10,5,2,1,10,10,8,0,2,7,10,51 or more,Female,753.5
15304,Human Resources,2,2,3,2,5,4,3,1,6,3,7,2,1,8,4,21 to 35,Female,636.3
13841,Finance Analyst,3,3,8,4,1,2,4,2,4,2,9,10,1,7,1,21 to 35,Female,604.2
4243,Finance Analyst,4,4,6,10,7,2,3,2,2,2,5,4,1,8,1,51 or more,Male,620.4
5833,Loan Processor,4,5,5,10,6,3,3,1,7,10,5,7,2,0,0,21 to 35,Female,645.8
9388,Bank Teller,4,10,1,4,1,3,1,2,6,9,6,10,1,4,1,21 to 35,Male,594.8
10171,Customer Service,3,2,10,1,10,7,2,2,10,10,6,10,2,6,5,21 to 35,Male,674.9
5947,Risk Analyst,3,8,5,8,10,5,5,2,10,10,6,0,2,4,4,51 or more,Female,715.7
11570,Business Analyst,1,2,2,0,1,1,3,2,1,1,6,0,2,5,0,51 or more,Male,596.6
14652,Customer Service,1,9,4,2,4,6,1,1,4,2,8,3,2,10,3,Less than 20,Male,680.5
2175,Finance Analyst,1,9,4,2,4,6,1,1,4,2,8,3,2,10,3,Less than 20,Male,680.5
9998,Customer Service,2,10,8,8,8,0,0,1,10,10,7,0,2,7,1,36 to 50,Female,715.9
12283,Loan Processor,3,6,5,8,2,2,0,2,5,10,7,0,2,5,1,51 or more,Female,639.4
5809,Risk Analyst,1,7,3,0,9,5,2,1,5,7,8,0,2,2,1,21 to 35,Female,698.5
1580,Credit Analyst,1,10,9,8,10,1,1,1,2,2,8,2,1,8,0,21 to 35,Male,639.7
1877,Finance Analyst,4,5,4,10,4,4,5,1,5,5,7,0,2,5,10,51 or more,Female,714.9
14435,Mortgage Consultant,2,8,4,4,5,3,3,1,3,9,7,10,2,7,2,21 to 35,Female,657.9
12586,Bank Teller,2,4,6,1,10,1,1,2,5,3,8,0,2,4,1,51 or more,Female,658.6
8433,Loan Processor,1,6,10,10,5,3,5,1,10,6,8,10,2,10,4,51 or more,Female,732.3
15543,Credit Analyst,2,5,3,3,10,10,2,2,10,4,7,0,2,10,10,51 or more,Female,706.2
6844,Mortgage Consultant,4,6,7,6,6,1,5,2,9,9,5,0,2,4,0,21 to 35,Female,642.2
12435,Customer Service,2,10,3,4,5,4,3,1,4,7,9,3,2,8,2,51 or more,Female,702.1
5443,Customer Service,3,10,10,10,8,5,2,1,5,6,7,0,1,10,5,21 to 35,Female,699.8
6159,Finance Analyst,2,0,2,10,10,0,5,1,7,5,7,10,1,5,8,51 or more,Male,665.6
12013,Mortgage Consultant,3,6,9,8,5,4,3,2,7,1,10,3,2,3,6,Less than 20,Female,677.3
7367,Finance Analyst,2,5,8,10,10,5,3,1,7,10,7,0,2,10,4,36 to 50,Female,729.5
7200,Risk Analyst,3,4,5,4,5,4,5,1,2,1,6,0,1,5,1,21 to 35,Female,628.9
15925,Bank Teller,5,1,4,4,4,0,1,1,2,1,8,0,1,2,1,21 to 35,Female,583.4
6786,Credit Analyst,4,0,4,0,3,2,0,2,5,1,8,5,2,3,5,21 to 35,Male,597
12005,Loan Processor,4,8,10,7,3,4,2,1,6,8,7,5,2,10,3,21 to 35,Female,679.8
14371,Loan Processor,4,2,0,9,8,0,2,1,2,4,9,0,1,4,4,36 to 50,Male,628.4
7130,Finance Analyst,4,2,10,5,5,3,5,2,2,1,5,0,2,10,0,36 to 50,Male,627
7123,Mortgage Consultant,1,10,8,10,5,0,5,1,7,7,8,0,2,10,10,21 to 35,Male,739.3
13460,Loan Processor,4,8,10,10,7,8,3,2,8,10,8,0,2,7,7,36 to 50,Female,704.2
4825,Customer Service,4,3,6,5,7,5,5,1,4,1,7,0,1,10,2,Less than 20,Female,661.4
9787,Bank Teller,4,8,10,7,3,4,2,1,6,8,7,5,2,10,3,21 to 35,Female,679.8
9366,Mortgage Consultant,4,4,8,4,4,0,0,2,8,4,6,6,2,5,1,36 to 50,Male,615.9
7094,Risk Analyst,4,10,5,7,7,7,3,1,8,8,8,0,2,10,4,51 or more,Female,741.2
4711,Investment Banker,1,10,3,10,3,3,3,2,7,10,8,0,1,5,5,36 to 50,Male,677
3969,Human Resources,1,10,3,10,3,3,3,2,7,10,8,0,1,5,5,36 to 50,Male,677
8649,Human Resources,4,5,5,3,10,4,0,2,9,3,7,3,2,10,1,51 or more,Male,644.8
10594,Bank Teller,1,3,4,10,10,4,3,1,8,10,6,0,2,5,5,21 to 35,Male,727.6
4042,Investment Banker,1,3,4,10,10,4,3,1,8,10,6,0,2,5,5,21 to 35,Male,727.6
4847,Human Resources,4,1,1,10,1,3,3,2,7,3,6,5,1,10,1,36 to 50,Female,608.9
5916,Business Analyst,1,5,9,10,10,5,3,1,9,2,7,0,2,10,6,21 to 35,Female,734.7
9527,Customer Service,4,6,10,6,2,2,3,1,2,3,10,0,1,10,1,21 to 35,Female,650.5
11659,Loan Processor,0,10,9,8,6,4,2,1,6,8,9,1,2,10,3,21 to 35,Male,743.1
1718,Human Resources,1,7,10,10,10,10,2,2,8,5,9,10,2,10,5,51 or more,Female,725.5
318,Risk Analyst,1,10,7,7,10,7,0,1,8,8,6,0,2,10,5,21 to 35,Male,749.3
5526,Credit Analyst,4,8,5,4,10,6,5,2,8,10,6,0,2,7,5,36 to 50,Female,703.8
6634,Finance Analyst,5,1,4,5,10,4,5,1,5,8,6,5,2,5,2,51 or more,Female,660.9
6636,Investment Banker,2,10,10,10,4,6,3,1,5,2,7,0,1,5,5,36 to 50,Male,702.4
6559,Loan Processor,5,2,2,10,10,3,1,2,4,5,10,10,2,10,2,36 to 50,Male,639
8272,Bank Teller,5,2,2,10,10,3,1,2,4,5,10,10,2,10,2,36 to 50,Male,639
9274,Business Analyst,3,7,4,4,2,3,2,2,4,1,9,0,2,2,0,21 to 35,Male,609.1
10138,Mortgage Consultant,0,10,3,10,5,0,0,2,0,9,4,0,2,2,4,51 or more,Male,645.4
11116,Investment Banker,2,8,5,4,9,5,3,1,6,7,8,0,2,9,3,36 to 50,Female,688.3
2879,Finance Analyst,2,8,5,4,9,5,3,1,6,7,8,0,2,9,3,36 to 50,Female,688.3
2206,Bank Teller,1,8,9,3,4,6,4,1,6,4,9,0,2,6,3,21 to 35,Female,698.1
4681,Investment Banker,5,3,5,3,2,4,3,1,3,8,6,8,1,4,3,21 to 35,Female,615
14369,Bank Teller,2,8,8,8,7,8,2,1,9,9,7,7,2,6,5,36 to 50,Female,727.6
5724,Credit Analyst,1,2,10,7,8,10,4,2,6,5,7,7,2,10,3,36 to 50,Female,720
13782,Mortgage Consultant,3,4,10,10,10,10,5,2,6,10,7,7,2,4,4,36 to 50,Female,727.8
9133,Bank Teller,0,10,10,10,10,6,5,2,10,8,8,0,2,10,3,51 or more,Female,754.8
2653,Risk Analyst,4,2,4,3,4,3,1,2,6,3,6,0,2,4,1,36 to 50,Male,624.2
14091,Business Analyst,2,4,4,3,6,7,3,1,8,7,8,0,2,4,1,36 to 50,Female,676.4
12006,Bank Teller,4,0,1,0,0,0,3,1,3,2,7,3,1,2,0,21 to 35,Male,573.2
8554,Risk Analyst,5,0,1,10,0,0,1,2,0,1,5,10,2,10,0,51 or more,Female,581.1
4866,Credit Analyst,3,5,2,3,5,2,1,1,6,3,7,10,2,2,2,36 to 50,Female,624.4
12735,Finance Analyst,1,6,5,4,7,4,1,1,5,6,8,10,2,4,5,21 to 35,Female,667.7
6735,Customer Service,2,1,3,6,3,8,2,2,4,6,8,0,2,4,5,21 to 35,Male,667.7
9062,Investment Banker,2,10,10,10,5,10,5,1,6,6,8,0,2,10,6,21 to 35,Female,754.4
2233,Investment Banker,3,5,9,4,10,7,3,1,6,6,6,0,2,10,3,36 to 50,Female,706.4
11297,Human Resources,5,8,4,3,9,3,1,1,1,8,5,6,2,4,1,51 or more,Male,645.4
1114,Investment Banker,3,1,3,1,5,1,1,2,3,1,5,4,2,4,8,36 to 50,Female,598.1
7751,Bank Teller,2,4,8,1,3,0,3,1,3,7,7,10,2,5,0,21 to 35,Male,625.2
630,Business Analyst,1,10,10,10,10,10,5,1,7,3,7,10,2,10,2,21 to 35,Male,728.1
1051,Investment Banker,3,2,2,10,8,1,5,1,4,2,7,0,2,7,0,51 or more,Female,668.4
3827,Human Resources,3,9,3,2,8,3,1,1,8,6,8,0,2,10,1,36 to 50,Female,672.8
10305,Finance Analyst,4,6,10,10,10,2,2,2,7,8,6,0,2,10,6,51 or more,Female,710.2
214,Human Resources,2,3,2,0,6,1,5,1,3,3,7,10,2,0,4,Less than 20,Male,629.5
14193,Bank Teller,3,0,10,7,10,1,4,1,5,8,6,0,2,5,2,36 to 50,Female,693.2
4169,Human Resources,4,7,5,10,10,4,4,2,3,6,7,10,2,3,2,21 to 35,Male,638.6
8951,Mortgage Consultant,3,6,10,7,10,7,3,2,6,7,8,0,2,10,4,36 to 50,Male,729.1
4514,Investment Banker,3,4,3,1,3,2,1,1,2,4,6,5,1,8,1,51 or more,Male,607.4
